"No.","Time","Source","Destination","Protocol","Length","Info"
"56752","19:36:34.922184","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x60f5 HTTPS 117259316.intellimizeio.com"
"56874","19:36:34.996560","180.250.13.34","10.107.135.158","DNS","295","Standard query response 0xef2b HTTPS 6033413.global.siteimproveanalytics.io CNAME eu-central-1.global.siteimproveanalytics.io CNAME ana-collector-alb-eu-2022-09-08-450671463.eu-central-1.elb.amazonaws.com SOA ns-1689.awsdns-19.co.uk"
"57223","19:36:35.243469","180.250.13.34","10.107.135.158","DNS","272","Standard query response 0x180e A 117259316.intellimizeio.com A 52.64.232.159 A 54.253.240.228 A 13.237.167.166 NS ns-1481.awsdns-57.org NS ns-1974.awsdns-54.co.uk NS ns-441.awsdns-55.com NS ns-605.awsdns-11.net"
"57232","19:36:35.264574","180.250.13.34","10.107.135.158","DNS","168","Standard query response 0x60f5 HTTPS 117259316.intellimizeio.com SOA ns-605.awsdns-11.net"
"57271","19:36:35.527982","10.107.135.158","180.250.13.34","DNS","78","Standard query 0x58e8 A log.intellimize.co"
"57272","19:36:35.528324","10.107.135.158","180.250.13.34","DNS","78","Standard query 0x2b1c HTTPS log.intellimize.co"
"57282","19:36:35.653769","10.107.135.158","180.250.13.34","DNS","87","Standard query 0xcd80 A 8292931.fls.doubleclick.net"
"57283","19:36:35.654134","10.107.135.158","180.250.13.34","DNS","87","Standard query 0x631d HTTPS 8292931.fls.doubleclick.net"
"57285","19:36:35.693367","180.250.13.34","10.107.135.158","DNS","168","Standard query response 0x631d HTTPS 8292931.fls.doubleclick.net CNAME dart.l.doubleclick.net SOA ns1.google.com"
"57286","19:36:35.704105","180.250.13.34","10.107.135.158","DNS","266","Standard query response 0x58e8 A log.intellimize.co A 44.236.135.61 A 35.155.135.106 A 52.32.71.222 NS ns-1204.awsdns-22.org NS ns-1650.awsdns-14.co.uk NS ns-331.awsdns-41.com NS ns-702.awsdns-23.net"
"57287","19:36:35.719776","180.250.13.34","10.107.135.158","DNS","140","Standard query response 0xcd80 A 8292931.fls.doubleclick.net CNAME dart.l.doubleclick.net A 172.217.194.149 A 172.217.194.148"
"57339","19:36:35.876289","180.250.13.34","10.107.135.158","DNS","159","Standard query response 0x2b1c HTTPS log.intellimize.co SOA ns-331.awsdns-41.com"
"57348","19:36:35.920767","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xd6bc A adservice.google.com"
"57349","19:36:35.921092","10.107.135.158","180.250.13.34","DNS","80","Standard query 0xaabb HTTPS adservice.google.com"
"57350","19:36:35.924159","180.250.13.34","10.107.135.158","DNS","144","Standard query response 0xd6bc A adservice.google.com A 172.217.194.157 A 172.217.194.155 A 172.217.194.156 A 172.217.194.154"
"57351","19:36:35.924159","180.250.13.34","10.107.135.158","DNS","105","Standard query response 0xaabb HTTPS adservice.google.com HTTPS"
"57579","19:36:36.856680","10.107.135.158","180.250.13.34","DNS","70","Standard query 0xd272 A google.com"
"57580","19:36:36.857292","10.107.135.158","180.250.13.34","DNS","70","Standard query 0x1463 HTTPS google.com"
"57586","19:36:36.859773","180.250.13.34","10.107.135.158","DNS","116","Standard query response 0xd272 A google.com CNAME forcesafesearch.google.com A 216.239.38.120"
"57587","19:36:36.860777","180.250.13.34","10.107.135.158","DNS","95","Standard query response 0x1463 HTTPS google.com HTTPS"
"57813","19:36:40.390850","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x6213 A ctldl.windowsupdate.com"
"57815","19:36:40.424099","180.250.13.34","10.107.135.158","DNS","262","Standard query response 0x6213 A ctldl.windowsupdate.com CNAME wu-bg-shim.trafficmanager.net CNAME fg.download.windowsupdate.com.c.footprint.net A 67.26.55.254 A 8.241.169.126 A 8.241.167.126 A 8.241.163.254 A 8.255.131.254"
"57827","19:36:40.699270","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x32f2 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net"
"57849","19:36:41.234141","180.250.13.34","10.107.135.158","DNS","419","Standard query response 0x32f2 A ac-imhhyhb-shard-00-02.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-02.deakh.mongodb.net CNAME ec2-52-16-40-109.eu-west-1.compute.amazonaws.com A 52.16.40.109 NS ns2.amzndns.org NS ns1.amzndns.org NS ns2.amzndns.co.uk NS ns2.amzndns.com NS ns2.amzndns.net NS ns1.amzndns.net NS ns1.amzndns.com NS ns1.amzndns.co.uk"
"57946","19:36:42.977693","10.107.135.158","180.250.13.34","DNS","83","Standard query 0x0a27 A www.msftconnecttest.com"
"57947","19:36:42.984677","180.250.13.34","10.107.135.158","DNS","219","Standard query response 0x0a27 A www.msftconnecttest.com CNAME ncsi-geo.trafficmanager.net CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52"
"58335","19:36:50.688063","10.107.135.158","180.250.13.34","DNS","71","Standard query 0xb4a6 A b1.nel.goog"
"58336","19:36:50.688388","10.107.135.158","180.250.13.34","DNS","71","Standard query 0xfe80 HTTPS b1.nel.goog"
"58337","19:36:50.689173","10.107.135.158","180.250.13.34","DNS","79","Standard query 0xbc2c A clients2.google.com"
"58338","19:36:50.689453","10.107.135.158","180.250.13.34","DNS","79","Standard query 0x2959 HTTPS clients2.google.com"
"58339","19:36:50.690231","10.107.135.158","180.250.13.34","DNS","77","Standard query 0xcfb9 A beacons4.gvt2.com"
"58340","19:36:50.690571","10.107.135.158","180.250.13.34","DNS","77","Standard query 0x8265 HTTPS beacons4.gvt2.com"
"58341","19:36:50.691700","180.250.13.34","10.107.135.158","DNS","87","Standard query response 0xb4a6 A b1.nel.goog A 74.125.24.94"
"58342","19:36:50.692397","180.250.13.34","10.107.135.158","DNS","131","Standard query response 0xfe80 HTTPS b1.nel.goog SOA ns1.google.com"
"58343","19:36:50.692912","180.250.13.34","10.107.135.158","DNS","153","Standard query response 0x2959 HTTPS clients2.google.com CNAME clients.l.google.com SOA ns1.google.com"
"58344","19:36:50.692912","180.250.13.34","10.107.135.158","DNS","93","Standard query response 0xcfb9 A beacons4.gvt2.com A 216.239.32.116"
"58346","19:36:50.693588","180.250.13.34","10.107.135.158","DNS","134","Standard query response 0x8265 HTTPS beacons4.gvt2.com SOA ns1.google.com"
"58355","19:36:50.706435","180.250.13.34","10.107.135.158","DNS","199","Standard query response 0xbc2c A clients2.google.com CNAME clients.l.google.com A 172.253.118.113 A 172.253.118.139 A 172.253.118.102 A 172.253.118.100 A 172.253.118.101 A 172.253.118.138"
"59212","19:36:57.952230","10.107.135.158","180.250.13.34","DNS","102","Standard query 0x0ff4 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net"
"59632","19:36:58.655233","180.250.13.34","10.107.135.158","DNS","418","Standard query response 0x0ff4 A ac-imhhyhb-shard-00-00.telqs6i.mongodb.net CNAME mtm-aws-euwest1-0-m0-9-shard-00-00.deakh.mongodb.net CNAME ec2-99-80-96-42.eu-west-1.compute.amazonaws.com A 99.80.96.42 NS ns2.amzndns.com NS ns1.amzndns.net NS ns2.amzndns.org NS ns2.amzndns.co.uk NS ns1.amzndns.co.uk NS ns1.amzndns.com NS ns1.amzndns.org NS ns2.amzndns.net"
"59985","19:37:02.046860","10.107.135.158","180.250.13.34","DNS","84","Standard query 0x7c1c A www.googletagmanager.com"
"59986","19:37:02.047246","10.107.135.158","180.250.13.34","DNS","84","Standard query 0x2bac HTTPS www.googletagmanager.com"
