,Time,Destination,Info
1025,19:40:28.640016,180.250.13.34,steamstatic.com
1027,19:40:28.750564,118.98.44.50,mongodb.net
1030,19:40:39.349404,180.250.13.34,exp-tas.com
1032,19:40:43.651273,180.250.13.34,msftconnecttest.com
1034,19:40:50.827239,180.250.13.34,gvt2.com
1035,19:40:50.827689,180.250.13.34,gvt2.com
1038,19:40:51.504618,180.250.13.34,mongodb.net
1040,19:41:06.601554,180.250.13.34,mongodb.net
1042,19:41:10.269223,118.98.44.50,google.com
1043,19:41:10.270146,118.98.44.50,google.com
1046,19:41:28.570101,180.250.13.34,mongodb.net
1048,19:41:43.772773,180.250.13.34,msftconnecttest.com
1049,19:41:44.503549,118.98.44.50,msftconnecttest.com
1051,19:41:47.724858,180.250.13.34,microsoft.com
1053,19:41:53.205182,180.250.13.34,mongodb.net
1055,19:42:06.997641,180.250.13.34,mongodb.net
1057,19:42:18.208091,180.250.13.34,google.com
1058,19:42:18.208451,180.250.13.34,google.com
1061,19:42:30.333594,180.250.13.34,mongodb.net
1062,19:42:31.066589,118.98.44.50,mongodb.net
1065,19:42:44.599086,180.250.13.34,msftconnecttest.com
1067,19:42:50.698821,180.250.13.34,nel.goog
1068,19:42:50.699114,180.250.13.34,nel.goog
1071,19:42:54.075675,180.250.13.34,mongodb.net
1072,19:42:54.804834,118.98.44.50,mongodb.net
1075,19:43:14.244338,180.250.13.34,msecnd.net
1077,19:43:16.413604,180.250.13.34,mongodb.net
1079,19:43:36.811360,180.250.13.34,mongodb.net
